Fundamental Rank,Ticker,Short Name,Sector,Industry,Market Cap,Fundamental Score,Fundamental Grade,Fundamental Percentile,Value Score,Quality Score,Growth Score,Stability Score,Sector Fundamental Rank,Quality Value Signal,Forward PER,PBR,PSR,EV/EBITDA,FCF Yield,ROE,ROA,Operating Margin,Profit Margin,Revenue CAGR,Revenue CAGR Years Used,Revenue CAGR Method,Revenue Growth,Earnings Growth,Debt/Equity,Free Cash Flow,Operating Cash Flow,PBR Percentile,Forward PER Percentile,PSR Percentile,EV/EBITDA Percentile,FCF Yield Percentile,ROE Percentile,ROA Percentile,Operating Margin Percentile,Profit Margin Percentile,Data Quality,Failed Reason,Debt/Equity Raw,Growth CAGR Raw,Growth Earnings Raw,Growth Revenue Raw,Stability Debt Raw,Stability History Raw,Price,Daily Return,MA50,MA200,Price vs MA50,Price vs MA200,RSI14,Stoch K,Stoch D,Williams %R,Oscillator Identity Error,Momentum 3M,Momentum 6M,52W High,52W Drawdown,Sideways 31D Range,Volume,Volume 20D Avg,Volume Ratio,Trend Score,Momentum Score,RSI Score,Stochastic Score,Volume Score,Technical Score,Technical Data Quality,Technical Grade,Technical Failed Reason,Technical As Of,Stoch Bullish Cross,Stoch Bearish Cross,Williams Oversold Exit,Williams Overbought Exit,Oscillator Confirmation,Technical State,Trend State,RSI State,Stochastic State,Williams State,Drawdown State,Technical Rank,Fundamental Contribution,Technical Contribution,Combined Score,Combined Data Quality,Combined Missing Inputs,Combined Rank,Score Model
125,VLO,Valero Energy Corporation,Energy,Oil & Gas Refining & Marketing,118994657280.0,60.87,C+,75.35,19.0,18.37,10.0,13.5,7,,11.07206,4.759645,0.8985476,9.398,0.0707290140278809,0.27637,0.105579995,0.12269,0.05446,-0.1139723520218498,3.0,Yearly,0.517,4.535,0.40148,8416374784.0,10908000256.0,0.2105263157894736,0.7368421052631579,0.8947368421052632,0.5263157894736842,0.6842105263157895,0.8947368421052632,0.8947368421052632,0.1052631578947368,0.1052631578947368,OK,,40.148,0.0,6.0,4.0,6.0,1.5,387.17999267578125,0.011283517446337266,346.3333740234375,253.21736083984376,0.11794017474498286,0.5290420506383322,58.294663558985235,41.08726737972139,35.30877551560486,-58.91273262027861,0.0,0.49853992001480685,0.5738008853992485,419.0400085449219,-0.07603096415488253,0.2140653750866799,3814100.0,3949895.0,0.9656206051046926,30.0,20.0,15.0,10.0,6.0,90.0,OK,A,,2026-09-25,False,False,False,False,REDUNDANT_SAME_WINDOW,STRONG_UPTREND,STRONG_UPTREND,BULLISH,BULLISH,BEARISH,NORMAL,3,38.043749999999996,33.75,71.79,OK,,11,F5_T3_v2
128,MPC,Marathon Petroleum Corporation,Energy,Oil & Gas Refining & Marketing,124040962048.0,60.82,C+,74.75,20.11,20.21,10.0,10.5,8,,9.791252,6.3030705,0.80469793,9.904,0.0745671033123782,0.42099,0.087390006,0.13561,0.05549,-0.0923297494577189,3.0,Yearly,0.537,3.48,1.33328,9249375232.0,17125999616.0,0.1578947368421052,0.8947368421052632,0.9473684210526316,0.4736842105263157,0.7894736842105263,0.9473684210526316,0.7894736842105263,0.3684210526315789,0.1578947368421052,OK,,133.328,0.0,6.0,4.0,3.0,1.5,393.5199890136719,0.0065736711251966895,356.17353515625,255.11986251831055,0.10485465698915086,0.5424905968872886,56.45966743096087,28.156085624340747,23.240272619034442,-71.84391437565925,0.0,0.5531666205951238,0.595197532273094,431.0799865722656,-0.08712999612265049,0.1987321820181338,1937800.0,3114965.0,0.6220936671840614,30.0,20.0,15.0,12.0,4.0,90.0,OK,A,,2026-09-25,False,False,False,False,REDUNDANT_SAME_WINDOW,STRONG_UPTREND,STRONG_UPTREND,BULLISH,BULLISH,BEARISH,NORMAL,3,38.0125,33.75,71.76,OK,,12,F5_T3_v2
99,APH,Amphenol Corporation,Technology,Electronic Components,191235735552.0,62.79,C+,80.42,12.39,20.9,19.0,10.5,25,,23.687853,12.340866,6.591699,21.636,0.0199668482513391,0.38115,0.14473,0.29779,0.17729001,0.2230660589034148,3.0,Yearly,0.55,0.593,1.20415,3818374912.0,5871699968.0,0.3243243243243243,0.2948717948717949,0.4177215189873418,0.4358974358974359,0.3417721518987341,0.68,0.8227848101265823,0.6455696202531646,0.4556962025316455,OK,,120.415,9.0,6.0,4.0,3.0,1.5,84.08999633789062,0.012156890762831107,80.26161987304687,73.46711151123047,0.04769871914994073,0.1445937455297437,58.375125446332206,89.03298368538618,81.55679440143709,-10.967016314613819,3.552713678800501e-15,0.02883485370679817,0.3700557048270037,89.1217783452051,-0.05645962300958951,0.1159950444559652,10146000.0,12062320.0,0.8411317225873629,30.0,16.0,15.0,10.0,6.0,85.56,OK,A,,2026-09-25,False,False,False,False,REDUNDANT_SAME_WINDOW,STRONG_UPTREND,STRONG_UPTREND,BULLISH,OVERBOUGHT,OVERBOUGHT,NORMAL,21,39.24375,32.085,71.33,OK,,13,F5_T3_v2
29,MO,"Altria Group, Inc.",Consumer Defensive,Tobacco,116080590848.0,70.11,B,94.43,25.04,30.0,1.0,14.06,1,,11.855328,-43.504375,5.6779785,8.792,0.0776583338708541,,0.29486,0.7612,0.38999,-0.0089251285912553,3.0,Yearly,0.012,-0.027,,9014625280.0,9408000000.0,,0.75,0.1111111111111111,0.8611111111111112,0.7777777777777778,,1.0,1.0,1.0,PARTIAL,,,0.0,0.0,1.0,0.0,1.5,68.81999969482422,-0.00087104472976407,68.07494621276855,65.094766330719,0.010944606253922018,0.057227847553501965,53.45651634445804,56.745959699998124,58.19535051295403,-43.254040300001876,0.0,-0.05245782956105727,0.09818577998628664,75.84860658662672,-0.09266626254729049,0.1135018728237116,5156700.0,8244470.0,0.625473802439696,30.0,9.0,15.0,7.0,4.0,72.22,OK,B,,2026-09-25,False,False,False,False,REDUNDANT_SAME_WINDOW,STRONG_UPTREND,STRONG_UPTREND,NEUTRAL,BEARISH,BULLISH,NORMAL,132,43.81875,27.0825,70.9,OK,,14,F5_T3_v2
132,PAYC,"Paycom Software, Inc.",Technology,Software - Application,10198806528.0,60.77,C+,73.96,17.18,20.29,14.3,9.0,32,,16.220673,17.223322,4.764239,14.7,0.0415465271192955,0.41089,0.087790005,0.31721002,0.22778,0.1426572993146497,3.0,Yearly,0.098,0.481,1.71969,423724992.0,801500032.0,0.2027027027027027,0.5384615384615384,0.5443037974683544,0.7051282051282052,0.5949367088607594,0.72,0.5189873417721519,0.6962025316455697,0.6455696202531646,OK,,171.969,6.3,6.0,2.0,1.5,1.5,220.4600067138672,-0.0015850316951055987,205.37495361328126,152.90540771484376,0.07345127940474616,0.44180647374491366,50.896965237296854,35.450340641822095,30.10174206740126,-64.5496593581779,0.0,0.7094094341973296,0.7997566951498103,244.97999572753906,-0.10008976014899773,0.1247695101895745,442200.0,771915.0,0.5728610015351431,30.0,20.0,15.0,10.0,4.0,87.78,OK,A,,2026-09-25,False,False,False,False,REDUNDANT_SAME_WINDOW,STRONG_UPTREND,STRONG_UPTREND,NEUTRAL,BULLISH,BEARISH,CORRECTION,11,37.98125,32.917500000000004,70.9,OK,,14,F5_T3_v2
41,TRV,"The Travelers Companies, Inc.",Financial Services,Insurance - Property & Casualty,78136377344.0,67.63,B-,92.05,23.53,19.1,11.5,13.5,9,,12.388936,2.3593948,1.5953037,7.155,0.1890940621287271,0.26511,0.04775,0.23698,0.16951999,0.0979010912931077,3.0,Yearly,0.003,0.571,0.27378,14775124992.0,11025999872.0,0.4444444444444444,0.5,0.84375,0.8378378378378378,0.975,0.8412698412698413,0.703125,0.359375,0.3125,OK,,27.378,4.5,6.0,1.0,6.0,1.5,363.0400085449219,0.0017936308126893508,371.66461853027346,316.09561477661134,-0.02320535653745337,0.14851327121854152,43.83743160585307,17.344721616151784,13.004838591680375,-82.65527838384821,0.0,0.11275090480443395,0.2564976442969764,397.3414841188364,-0.08632744615121957,0.052998071005295744,807600.0,1468770.0,0.5498478318593109,22.0,18.0,12.0,12.0,4.0,75.56,OK,B+,,2026-09-25,False,False,False,False,REDUNDANT_SAME_WINDOW,UPTREND,UPTREND,BEARISH,OVERSOLD,OVERSOLD,NORMAL,103,42.26875,28.335,70.6,OK,,16,F5_T3_v2
112,AMGN,Amgen Inc.,Healthcare,Drug Manufacturers - General,208494723072.0,61.61,C+,77.93,13.16,26.65,14.3,7.5,19,,15.803838,17.83765,5.4730206,14.582,0.0414668760178375,0.91473,0.08667,0.35548002,0.22951001,0.1176639909760326,3.0,Yearly,0.095,0.649,4.90281,8645624832.0,12478000128.0,0.0909090909090909,0.5254237288135594,0.3166666666666666,0.4745762711864407,0.55,0.9636363636363636,0.7333333333333333,0.9166666666666666,0.8666666666666667,OK,,490.281,6.3,6.0,2.0,0.0,1.5,414.6099853515625,0.02110623738126649,403.5410412597656,358.40328521728514,0.02742953742013965,0.15682529277096768,56.54985050644927,97.21543848863423,62.80051812538894,-2.784561511365761,4.884981308350689e-15,0.16382388335462372,0.18977847393466374,447.0299987792969,-0.07252312711957498,0.18227073694448404,2213100.0,3065845.0,0.7218564539303194,30.0,18.0,15.0,10.0,4.0,85.56,OK,A,,2026-09-25,False,False,False,False,REDUNDANT_SAME_WINDOW,STRONG_UPTREND,STRONG_UPTREND,BULLISH,BULLISH,OVERBOUGHT,NORMAL,21,38.50625,32.085,70.59,OK,,17,F5_T3_v2
11,CF,"CF Industries Holdings, Inc.",Basic Materials,Agricultural Inputs,19325878272.0,75.55,B+,98.01,24.0,28.55,9.5,13.5,2,,11.949198,3.3678825,2.4972062,6.101,0.0660642654388338,0.29867,0.12934,0.49325,0.27122,-0.1412477014500929,3.0,Yearly,0.176,0.996,0.4050399999999999,1276749952.0,2976999936.0,0.4090909090909091,0.7727272727272727,0.4545454545454545,1.0,0.7272727272727273,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.9090909090909092,OK,,40.504,0.0,6.0,3.5,6.0,1.5,114.66999816894531,-0.03183049809819116,125.09161758422852,110.75631610870361,-0.0833118926475307,0.035335971777903374,34.1172913151041,1.0630529596758067,4.6410720958935565,-98.9369470403242,0.0,0.09045247750301755,-0.1269507795102034,141.66000366210938,-0.19052664686880305,0.21452870407542868,2271700.0,2758885.0,0.8234123568035637,22.0,11.0,10.0,7.0,6.0,62.22,OK,C+,,2026-09-25,False,False,False,False,REDUNDANT_SAME_WINDOW,UPTREND,UPTREND,BEARISH,OVERSOLD,OVERSOLD,CORRECTION,213,47.21875,23.3325,70.55,OK,,18,F5_T3_v2
92,ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - General,466448285696.0,63.52,C+,81.91,13.36,24.4,11.7,14.06,14,,16.226177,-78.58291,7.2445607,17.255,0.0361674616744007,,0.105100006,0.40035,0.098000005,0.0175250491815381,3.0,Yearly,0.102,2.904,,16870250496.0,19506999296.0,,0.4745762711864407,0.1666666666666666,0.3559322033898305,0.4,,0.7833333333333333,0.95,0.5333333333333333,PARTIAL,,,2.7,6.0,3.0,0.0,1.5,264.3399963378906,-0.0029420594208751094,257.04819915771486,228.39643432617189,0.028367431493662387,0.1573735689778235,58.578822808558726,77.67455351872776,79.91444198975775,-22.32544648127224,3.552713678800501e-15,0.05080534330563391,0.2714576542270617,269.3900146484375,-0.018746122855137437,0.06909720446078227,2540400.0,4073820.0,0.6235916167135515,30.0,18.0,15.0,7.0,4.0,82.22,OK,B+,,2026-09-25,False,False,False,True,REDUNDANT_SAME_WINDOW,STRONG_UPTREND,STRONG_UPTREND,BULLISH,BEARISH,BULLISH,NEAR_52W_HIGH,47,39.7,30.8325,70.53,OK,,19,F5_T3_v2
165,HUM,Humana Inc.,Healthcare,Healthcare Plans,46377414656.0,58.63,C,67.4,21.32,8.51,16.3,12.5,28,,23.311161,2.4138598,0.31835344,10.377,0.0418522668932104,0.06893,0.03896,0.034649998,0.00878,0.1176727344769554,3.0,Yearly,0.262,0.271,0.76485,1940999936.0,2539000064.0,0.7272727272727273,0.2203389830508474,0.8833333333333333,0.7796610169491526,0.5666666666666667,0.3090909090909091,0.2666666666666666,0.1166666666666666,0.1833333333333333,OK,,76.485,6.3,6.0,4.0,5.0,1.5,397.92999267578125,0.046303073760066926,386.73639892578126,289.35151336669924,0.02894372958193725,0.375247663458663,55.953066605911296,56.648288488377325,29.92393615158745,-43.351711511622675,0.0,0.03670799414422499,1.2889950194398434,428.8800048828125,-0.07216473571783333,0.10161287041120626,1938500.0,969940.0,1.9985772315813348,30.0,16.0,15.0,10.0,10.0,90.0,OK,A,,2026-09-25,False,False,False,False,REDUNDANT_SAME_WINDOW,STRONG_UPTREND,STRONG_UPTREND,BULLISH,BULLISH,BULLISH,NORMAL,3,36.643750000000004,33.75,70.39,OK,,20,F5_T3_v2
73,GDDY,GoDaddy Inc.,Technology,Software - Infrastructure,12343085056.0,64.65,C+,85.69,22.8,21.85,12.5,7.5,21,,8.837905,1838.8679,2.4182687,10.864,0.0976214625868004,4.42861,0.09882,0.27056998,0.17834999,0.0656472226630486,3.0,Yearly,0.066,0.298,573.3433,1204950016.0,1728800000.0,0.0135135135135135,0.9230769230769232,0.8354430379746836,0.8846153846153846,0.9493670886075948,1.0,0.5822784810126582,0.5569620253164557,0.4683544303797468,OK,,57334.33,4.5,6.0,2.0,0.0,1.5,97.13999938964844,-0.03640510125805929,96.2845994567871,94.17704971313476,0.008884078426739883,0.031461483297033466,48.901152876105904,29.546671549479168,37.287033038865815,-70.45332845052083,0.0,0.14890592410958958,0.18854760063346476,143.3350067138672,-0.32228698615430096,0.13424264942920772,2705600.0,2698495.0,1.0026329491068169,30.0,16.0,12.0,7.0,6.0,78.89,OK,B+,,2026-09-25,False,False,False,False,REDUNDANT_SAME_WINDOW,STRONG_UPTREND,STRONG_UPTREND,NEUTRAL,BEARISH,BEARISH,DEEP_DRAWDOWN,78,40.40625,29.583750000000002,69.99,OK,,21,F5_T3_v2
14,EOG,"EOG Resources, Inc.",Energy,Oil & Gas E&P,76821012480.0,74.5,B,97.42,25.89,25.11,10.0,13.5,2,,9.742999,2.37862,2.8749304,5.45,0.0583011088166277,0.22507,0.11017,0.40717998,0.25733,-0.0851440310887835,3.0,Yearly,0.587,1.094,0.25891,4478750208.0,13358000128.0,0.631578947368421,0.9473684210526316,0.3157894736842105,0.9473684210526316,0.5789473684210527,0.7368421052631579,0.9473684210526316,0.7894736842105263,0.8947368421052632,OK,,25.891,0.0,6.0,4.0,6.0,1.5,140.35000610351562,-0.01756961008058444,144.60620056152345,130.0037163543701,-0.029433001084880894,0.0795845691129562,42.70487015599406,14.223650166330215,22.50518893406503,-85.77634983366978,0.0,0.06630167946973686,-0.03390458928978057,154.16000366210938,-0.08958223424061895,0.10192087718785947,2671000.0,3381430.0,0.7899024968726249,22.0,11.0,12.0,7.0,4.0,62.22,OK,C+,,2026-09-25,False,False,False,False,REDUNDANT_SAME_WINDOW,UPTREND,UPTREND,BEARISH,BEARISH,OVERSOLD,NORMAL,213,46.5625,23.3325,69.9,OK,,22,F5_T3_v2
