Fundamental Rank,Ticker,Short Name,Sector,Industry,Market Cap,Fundamental Score,Fundamental Grade,Fundamental Percentile,Value Score,Quality Score,Growth Score,Stability Score,Sector Fundamental Rank,Quality Value Signal,Forward PER,PBR,PSR,EV/EBITDA,FCF Yield,ROE,ROA,Operating Margin,Profit Margin,Revenue CAGR,Revenue CAGR Years Used,Revenue CAGR Method,Revenue Growth,Earnings Growth,Debt/Equity,Free Cash Flow,Operating Cash Flow,PBR Percentile,Forward PER Percentile,PSR Percentile,EV/EBITDA Percentile,FCF Yield Percentile,ROE Percentile,ROA Percentile,Operating Margin Percentile,Profit Margin Percentile,Data Quality,Failed Reason,Debt/Equity Raw,Growth CAGR Raw,Growth Earnings Raw,Growth Revenue Raw,Stability Debt Raw,Stability History Raw
35,BRK-B,Berkshire Hathaway Inc. New,Financial Services,Insurance - Diversified,1091269558272.0,68.72,B-,93.14,20.64,15.58,18.0,14.5,8,,22.970331,0.0009761484,2.8367724,-1.79,0.0659555169723337,0.121199995,0.060100004,0.32561,0.22296,0.2058649958540774,3.0,Yearly,0.1,1.078,0.17142,71975247872.0,46634000384.0,1.0,0.09375,0.625,,0.55,0.30158730158730157,0.78125,0.46875,0.453125,OK,,17.142,9.0,6.0,3.0,7.0,1.5
37,SBAC,SBA Communications Corporation,Real Estate,REIT - Specialty,18946275328.0,68.59,B-,92.84,21.95,28.89,3.7,14.06,3,,21.820593,-4.092159,6.6000595,18.496,0.0396941547074724,,0.08406,0.52165,0.34512,0.0224875662570063,3.0,Yearly,0.023,-0.105,,752056384.0,1284317952.0,,0.8666666666666667,0.6129032258064516,0.5483870967741935,0.41935483870967744,,1.0,0.967741935483871,0.8709677419354839,PARTIAL,,,2.7,0.0,1.0,0.0,1.5
38,BMY,Bristol-Myers Squibb Company,Healthcare,Drug Manufacturers - General,128813588480.0,68.54,B-,92.64,24.4,25.94,10.7,7.5,6,,9.605719,5.7720823,2.6189075,8.6,0.0629931613873164,0.46598998,0.10719,0.34418,0.18871,0.0144917765631904,3.0,Yearly,0.057,1.531,2.01859,8114375168.0,12782000128.0,0.32727272727272727,0.9322033898305084,0.55,0.9152542372881356,0.7833333333333333,0.8909090909090909,0.8166666666666667,0.8833333333333333,0.7833333333333333,OK,,201.859,2.7,6.0,2.0,0.0,1.5
39,BSX,Boston Scientific Corporation,Healthcare,Medical Devices,62809608192.0,68.43,B-,92.45,21.93,19.35,14.65,12.5,7,,12.654458,2.515088,2.9915035,13.156,0.0390286641576635,0.15338999,0.06191,0.22895999,0.17499,0.1654189001960644,3.0,Yearly,0.075,0.151,0.50151,2451375104.0,4528999936.0,0.6545454545454545,0.7288135593220338,0.5333333333333333,0.6440677966101694,0.4666666666666667,0.6,0.5333333333333333,0.65,0.7666666666666667,OK,,50.151,7.65,5.0,2.0,5.0,1.5
40,LULU,lululemon athletica inc.,Consumer Cyclical,Apparel Retail,10856224768.0,68.37,B-,92.25,29.02,19.55,6.3,13.5,3,,11.162577,2.2857807,0.97857124,4.869,0.1057932996547184,0.30898002,0.14401,0.13212,0.12782,0.110346940789624,3.0,Yearly,-0.043,-0.059,0.44689,1148515840.0,1982033024.0,0.7045454545454546,0.8181818181818182,0.7090909090909091,0.9818181818181818,0.9074074074074074,0.5227272727272727,0.8727272727272727,0.4727272727272727,0.7272727272727273,OK,,44.689,6.3,0.0,0.0,6.0,1.5
41,TRV,"The Travelers Companies, Inc.",Financial Services,Insurance - Property & Casualty,78136377344.0,67.63,B-,92.05,23.53,19.1,11.5,13.5,9,,12.388936,2.3593948,1.5953037,7.155,0.1890940621287271,0.26511,0.04775,0.23698,0.16951999,0.0979010912931077,3.0,Yearly,0.003,0.571,0.27378,14775124992.0,11025999872.0,0.4444444444444444,0.5,0.84375,0.8378378378378378,0.975,0.8412698412698413,0.703125,0.359375,0.3125,OK,,27.378,4.5,6.0,1.0,6.0,1.5
42,CHTR,"Charter Communications, Inc.",Communication Services,Telecom Services,16656665600.0,67.42,B-,91.85,33.17,19.04,7.7,7.5,2,,3.0618727,0.90183085,0.30621123,5.338,0.1319816921821376,0.27201998,0.05311,0.23503,0.09052,0.0046187194908937,3.0,Yearly,-0.017,0.161,4.41578,2198374912.0,16469999616.0,0.9473684210526315,1.0,1.0,0.95,0.85,0.7894736842105263,0.55,0.5,0.45,OK,,441.578,2.7,5.0,0.0,0.0,1.5
43,WYNN,"Wynn Resorts, Limited",Consumer Cyclical,Resorts & Casinos,8410907136.0,67.41,B-,91.65,21.07,15.27,17.0,14.06,4,,15.852991,-49.116055,1.1345508,9.836,0.0566156368510879,,0.05728,0.16537,0.060549997,0.2385598136212001,3.0,Yearly,0.069,1.061,,476188864.0,1459197056.0,,0.43636363636363634,0.6181818181818182,0.7272727272727273,0.6481481481481481,,0.3090909090909091,0.6727272727272727,0.32727272727272727,PARTIAL,,,9.0,6.0,2.0,0.0,1.5
44,AVGO,Broadcom Inc.,Technology,Semiconductors,1707097718784.0,67.11,B-,91.45,9.55,26.06,19.0,12.5,9,,18.448807,17.125275,19.158485,33.344,0.0179231095673858,0.44245,0.15369001,0.54307,0.42944,0.2437842600004176,3.0,Yearly,0.855,2.153,0.59604,30596499456.0,40653000704.0,0.21621621621621623,0.4230769230769231,0.0759493670886076,0.24358974358974358,0.3037974683544304,0.7733333333333333,0.8354430379746836,0.9620253164556962,0.9367088607594937,OK,,59.604,9.0,6.0,4.0,5.0,1.5
45,FIS,Fidelity National Information S,Technology,Information Technology Services,18411233280.0,67.08,B-,91.25,33.54,13.47,9.57,10.5,10,,5.315402,1.1460378,1.5091176,11.034,0.1441036067302494,0.22348,0.04275,0.20669001,0.27648002,0.031797154725512,3.0,Yearly,0.291,,1.3251,2653125120.0,2976000000.0,0.9864864864864865,1.0,0.8987341772151899,0.8717948717948718,1.0,0.4266666666666667,0.189873417721519,0.4050632911392405,0.759493670886076,OK,,132.51,2.7,0.0,4.0,3.0,1.5
46,EPAM,"EPAM Systems, Inc.",Technology,Information Technology Services,5880915968.0,67.07,B-,91.05,34.02,8.85,9.7,14.5,11,,8.107191,1.6712602,1.047032,6.961,0.1105535429408808,0.111770004,0.08453,0.10936,0.07151,0.0419081267592031,3.0,Yearly,0.045,0.263,0.0432599999999999,650156096.0,538790016.0,0.972972972972973,0.9615384615384616,0.9240506329113924,0.9871794871794872,0.9873417721518988,0.21333333333333335,0.46835443037974683,0.12658227848101267,0.13924050632911392,OK,,4.326,2.7,6.0,1.0,7.0,1.5
47,PGR,Progressive Corporation (The),Financial Services,Insurance - Property & Casualty,123903787008.0,67.01,B-,90.85,19.71,18.8,14.0,14.5,10,,13.113553,3.6126106,1.3612958,8.465,0.1219857799424977,0.34943,0.07839,0.18208,0.12849,0.2090378284670047,3.0,Yearly,0.073,0.05,0.24428,15114500096.0,16339000320.0,0.2698412698412698,0.46875,0.875,0.7297297297297297,0.8,0.9047619047619048,0.828125,0.171875,0.1875,OK,,24.428,9.0,3.0,2.0,7.0,1.5
48,NFLX,"Netflix, Inc.",Communication Services,Entertainment,298929225728.0,66.73,B-,90.66,12.93,28.0,13.3,12.5,3,,18.799002,9.914376,6.1799564,20.809,0.0849283060435867,0.49541,0.16084999,0.33381,0.28219,0.1263971837136066,3.0,Yearly,0.134,0.111,0.55236,25387552768.0,11970833408.0,0.15789473684210525,0.5,0.25,0.3,0.7,1.0,0.95,0.85,0.85,OK,,55.236,6.3,4.0,3.0,5.0,1.5
