Display Rank,Combined Rank,Combined Data Quality,Combined Missing Inputs,Score Model,Williams %R,Williams State,Oscillator Confirmation,Signal Rank,Ticker,Short Name,Sector,Industry,Combined Score,Fundamental Score,Technical Score,Fundamental Grade,Technical Grade,Primary Signal,Signals,Radar Category,Signal Confidence,Signal Count,Risk Flags,Risk Flag Count,Signal Drawdown Base,Value Score,Quality Score,Growth Score,Stability Score,Price,MA50,MA200,Price vs MA50,Price vs MA200,RSI14,Stoch K,Stoch D,Stoch Bullish Cross,Stoch Bearish Cross,Momentum 3M,Momentum 6M,52W High,52W Drawdown,Sideways 31D Range,Volume,Volume 20D Avg,Volume Ratio,Technical State,Trend State,RSI State,Stochastic State,Drawdown State,Forward PER,PBR,PSR,EV/EBITDA,FCF Yield,ROE,ROA,Operating Margin,Profit Margin,Revenue CAGR,Revenue Growth,Earnings Growth,Debt/Equity,Free Cash Flow,Operating Cash Flow,Data Quality,Technical Data Quality,Failed Reason,Technical Failed Reason,Fundamental Rank,Market Cap,Fundamental Percentile,Sector Fundamental Rank,Quality Value Signal,Revenue CAGR Years Used,Revenue CAGR Method,PBR Percentile,Forward PER Percentile,PSR Percentile,EV/EBITDA Percentile,FCF Yield Percentile,ROE Percentile,ROA Percentile,Operating Margin Percentile,Profit Margin Percentile,Debt/Equity Raw,Growth CAGR Raw,Growth Earnings Raw,Growth Revenue Raw,Stability Debt Raw,Stability History Raw,Daily Return,Oscillator Identity Error,Trend Score,Momentum Score,RSI Score,Stochastic Score,Volume Score,Technical As Of,Williams Oversold Exit,Williams Overbought Exit,Technical Rank,Fundamental Contribution,Technical Contribution
11,11,OK,,F5_T3_v2,-58.91273262027861,BEARISH,REDUNDANT_SAME_WINDOW,,VLO,Valero Energy Corporation,Energy,Oil & Gas Refining & Marketing,71.79,60.87,90.0,C+,A,NONE,,NONE,NONE,0,,0,False,19.0,18.37,10.0,13.5,387.1799926757813,346.3333740234375,253.21736083984376,0.1179401747449828,0.5290420506383322,58.29466355898524,41.08726737972139,35.30877551560486,False,False,0.4985399200148068,0.5738008853992485,419.0400085449219,-0.0760309641548825,0.2140653750866799,3814100.0,3949895.0,0.9656206051046926,STRONG_UPTREND,STRONG_UPTREND,BULLISH,BULLISH,NORMAL,11.07206,4.759645,0.8985476,9.398,0.0707290140278809,0.27637,0.105579995,0.12269,0.05446,-0.1139723520218498,0.517,4.535,0.40148,8416374784.0,10908000256.0,OK,OK,,,125,118994657280.0,75.35,7,,3.0,Yearly,0.2105263157894736,0.7368421052631579,0.8947368421052632,0.5263157894736842,0.6842105263157895,0.8947368421052632,0.8947368421052632,0.1052631578947368,0.1052631578947368,40.148,0.0,6.0,4.0,6.0,1.5,0.0112835174463372,0.0,30.0,20.0,15.0,10.0,6.0,2026-09-25,False,False,3.0,38.043749999999996,33.75
12,12,OK,,F5_T3_v2,-71.84391437565925,BEARISH,REDUNDANT_SAME_WINDOW,,MPC,Marathon Petroleum Corporation,Energy,Oil & Gas Refining & Marketing,71.76,60.82,90.0,C+,A,NONE,,NONE,NONE,0,,0,False,20.11,20.21,10.0,10.5,393.5199890136719,356.17353515625,255.11986251831053,0.1048546569891508,0.5424905968872886,56.45966743096087,28.156085624340747,23.24027261903444,False,False,0.5531666205951238,0.595197532273094,431.0799865722656,-0.0871299961226504,0.1987321820181338,1937800.0,3114965.0,0.6220936671840614,STRONG_UPTREND,STRONG_UPTREND,BULLISH,BULLISH,NORMAL,9.791252,6.3030705,0.80469793,9.904,0.0745671033123782,0.42099,0.087390006,0.13561,0.05549,-0.0923297494577189,0.537,3.48,1.33328,9249375232.0,17125999616.0,OK,OK,,,128,124040962048.0,74.75,8,,3.0,Yearly,0.1578947368421052,0.8947368421052632,0.9473684210526316,0.4736842105263157,0.7894736842105263,0.9473684210526316,0.7894736842105263,0.3684210526315789,0.1578947368421052,133.328,0.0,6.0,4.0,3.0,1.5,0.0065736711251966,0.0,30.0,20.0,15.0,12.0,4.0,2026-09-25,False,False,3.0,38.0125,33.75
13,13,OK,,F5_T3_v2,-10.96701631461382,OVERBOUGHT,REDUNDANT_SAME_WINDOW,,APH,Amphenol Corporation,Technology,Electronic Components,71.33,62.79,85.56,C+,A,NONE,,NONE,NONE,0,,0,False,12.39,20.9,19.0,10.5,84.08999633789062,80.26161987304687,73.46711151123047,0.0476987191499407,0.1445937455297437,58.375125446332206,89.03298368538618,81.55679440143709,False,False,0.0288348537067981,0.3700557048270037,89.1217783452051,-0.0564596230095895,0.1159950444559652,10146000.0,12062320.0,0.8411317225873629,STRONG_UPTREND,STRONG_UPTREND,BULLISH,OVERBOUGHT,NORMAL,23.687853,12.340866,6.591699,21.636,0.0199668482513391,0.38115,0.14473,0.29779,0.17729001,0.2230660589034148,0.55,0.593,1.20415,3818374912.0,5871699968.0,OK,OK,,,99,191235735552.0,80.42,25,,3.0,Yearly,0.3243243243243243,0.2948717948717949,0.4177215189873418,0.4358974358974359,0.3417721518987341,0.68,0.8227848101265823,0.6455696202531646,0.4556962025316455,120.415,9.0,6.0,4.0,3.0,1.5,0.0121568907628311,3.552713678800501e-15,30.0,16.0,15.0,10.0,6.0,2026-09-25,False,False,21.0,39.24375,32.085
14,14,OK,,F5_T3_v2,-43.25404030000188,BULLISH,REDUNDANT_SAME_WINDOW,,MO,"Altria Group, Inc.",Consumer Defensive,Tobacco,70.9,70.11,72.22,B,B,NONE,,NONE,NONE,0,,0,False,25.04,30.0,1.0,14.06,68.81999969482422,68.07494621276855,65.094766330719,0.010944606253922,0.0572278475535019,53.45651634445804,56.74595969999813,58.19535051295403,False,False,-0.0524578295610572,0.0981857799862866,75.84860658662672,-0.0926662625472904,0.1135018728237116,5156700.0,8244470.0,0.625473802439696,STRONG_UPTREND,STRONG_UPTREND,NEUTRAL,BEARISH,NORMAL,11.855328,-43.504375,5.6779785,8.792,0.0776583338708541,,0.29486,0.7612,0.38999,-0.0089251285912553,0.012,-0.027,,9014625280.0,9408000000.0,PARTIAL,OK,,,29,116080590848.0,94.43,1,,3.0,Yearly,,0.75,0.1111111111111111,0.8611111111111112,0.7777777777777778,,1.0,1.0,1.0,,0.0,0.0,1.0,0.0,1.5,-0.000871044729764,0.0,30.0,9.0,15.0,7.0,4.0,2026-09-25,False,False,132.0,43.81875,27.0825
14,14,OK,,F5_T3_v2,-64.5496593581779,BEARISH,REDUNDANT_SAME_WINDOW,,PAYC,"Paycom Software, Inc.",Technology,Software - Application,70.9,60.77,87.78,C+,A,NONE,,NONE,NONE,0,,0,False,17.18,20.29,14.3,9.0,220.4600067138672,205.3749536132813,152.90540771484376,0.0734512794047461,0.4418064737449136,50.89696523729685,35.450340641822095,30.10174206740126,False,False,0.7094094341973296,0.7997566951498103,244.97999572753903,-0.1000897601489977,0.1247695101895745,442200.0,771915.0,0.5728610015351431,STRONG_UPTREND,STRONG_UPTREND,NEUTRAL,BULLISH,CORRECTION,16.220673,17.223322,4.764239,14.7,0.0415465271192955,0.41089,0.087790005,0.31721002,0.22778,0.1426572993146497,0.098,0.481,1.71969,423724992.0,801500032.0,OK,OK,,,132,10198806528.0,73.96,32,,3.0,Yearly,0.2027027027027027,0.5384615384615384,0.5443037974683544,0.7051282051282052,0.5949367088607594,0.72,0.5189873417721519,0.6962025316455697,0.6455696202531646,171.969,6.3,6.0,2.0,1.5,1.5,-0.0015850316951055,0.0,30.0,20.0,15.0,10.0,4.0,2026-09-25,False,False,11.0,37.98125,32.917500000000004
16,16,OK,,F5_T3_v2,-82.65527838384821,OVERSOLD,REDUNDANT_SAME_WINDOW,,TRV,"The Travelers Companies, Inc.",Financial Services,Insurance - Property & Casualty,70.6,67.63,75.56,B-,B+,NONE,,NONE,NONE,0,,0,False,23.53,19.1,11.5,13.5,363.0400085449219,371.6646185302735,316.09561477661134,-0.0232053565374533,0.1485132712185415,43.83743160585307,17.344721616151784,13.004838591680375,False,False,0.1127509048044339,0.2564976442969764,397.3414841188364,-0.0863274461512195,0.0529980710052957,807600.0,1468770.0,0.5498478318593109,UPTREND,UPTREND,BEARISH,OVERSOLD,NORMAL,12.388936,2.3593948,1.5953037,7.155,0.1890940621287271,0.26511,0.04775,0.23698,0.16951999,0.0979010912931077,0.003,0.571,0.27378,14775124992.0,11025999872.0,OK,OK,,,41,78136377344.0,92.05,9,,3.0,Yearly,0.4444444444444444,0.5,0.84375,0.8378378378378378,0.975,0.8412698412698413,0.703125,0.359375,0.3125,27.378,4.5,6.0,1.0,6.0,1.5,0.0017936308126893,0.0,22.0,18.0,12.0,12.0,4.0,2026-09-25,False,False,103.0,42.26875,28.335
17,17,OK,,F5_T3_v2,-2.784561511365761,OVERBOUGHT,REDUNDANT_SAME_WINDOW,,AMGN,Amgen Inc.,Healthcare,Drug Manufacturers - General,70.59,61.61,85.56,C+,A,NONE,,NONE,NONE,0,,0,False,13.16,26.65,14.3,7.5,414.6099853515625,403.5410412597656,358.40328521728514,0.0274295374201396,0.1568252927709676,56.54985050644927,97.21543848863423,62.80051812538894,False,False,0.1638238833546237,0.1897784739346637,447.0299987792969,-0.0725231271195749,0.182270736944484,2213100.0,3065845.0,0.7218564539303194,STRONG_UPTREND,STRONG_UPTREND,BULLISH,BULLISH,NORMAL,15.803838,17.83765,5.4730206,14.582,0.0414668760178375,0.91473,0.08667,0.35548002,0.22951001,0.1176639909760326,0.095,0.649,4.90281,8645624832.0,12478000128.0,OK,OK,,,112,208494723072.0,77.93,19,,3.0,Yearly,0.0909090909090909,0.5254237288135594,0.3166666666666666,0.4745762711864407,0.55,0.9636363636363636,0.7333333333333333,0.9166666666666666,0.8666666666666667,490.281,6.3,6.0,2.0,0.0,1.5,0.0211062373812664,4.884981308350689e-15,30.0,18.0,15.0,10.0,4.0,2026-09-25,False,False,21.0,38.50625,32.085
18,18,OK,,F5_T3_v2,-98.9369470403242,OVERSOLD,REDUNDANT_SAME_WINDOW,,CF,"CF Industries Holdings, Inc.",Basic Materials,Agricultural Inputs,70.55,75.55,62.22,B+,C+,NONE,,NONE,NONE,0,,0,False,24.0,28.55,9.5,13.5,114.66999816894533,125.09161758422852,110.7563161087036,-0.0833118926475307,0.0353359717779033,34.1172913151041,1.0630529596758067,4.6410720958935565,False,False,0.0904524775030175,-0.1269507795102034,141.66000366210938,-0.190526646868803,0.2145287040754286,2271700.0,2758885.0,0.8234123568035637,UPTREND,UPTREND,BEARISH,OVERSOLD,CORRECTION,11.949198,3.3678825,2.4972062,6.101,0.0660642654388338,0.29867,0.12934,0.49325,0.27122,-0.1412477014500929,0.176,0.996,0.4050399999999999,1276749952.0,2976999936.0,OK,OK,,,11,19325878272.0,98.01,2,,3.0,Yearly,0.4090909090909091,0.7727272727272727,0.4545454545454545,1.0,0.7272727272727273,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.9090909090909092,40.504,0.0,6.0,3.5,6.0,1.5,-0.0318304980981911,0.0,22.0,11.0,10.0,7.0,6.0,2026-09-25,False,False,213.0,47.21875,23.3325
19,19,OK,,F5_T3_v2,-22.32544648127224,BULLISH,REDUNDANT_SAME_WINDOW,,ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - General,70.53,63.52,82.22,C+,B+,NONE,,NONE,NONE,0,,0,False,13.36,24.4,11.7,14.06,264.3399963378906,257.04819915771486,228.39643432617189,0.0283674314936623,0.1573735689778235,58.578822808558726,77.67455351872776,79.91444198975775,False,False,0.0508053433056339,0.2714576542270617,269.3900146484375,-0.0187461228551374,0.0690972044607822,2540400.0,4073820.0,0.6235916167135515,STRONG_UPTREND,STRONG_UPTREND,BULLISH,BEARISH,NEAR_52W_HIGH,16.226177,-78.58291,7.2445607,17.255,0.0361674616744007,,0.105100006,0.40035,0.098000005,0.0175250491815381,0.102,2.904,,16870250496.0,19506999296.0,PARTIAL,OK,,,92,466448285696.0,81.91,14,,3.0,Yearly,,0.4745762711864407,0.1666666666666666,0.3559322033898305,0.4,,0.7833333333333333,0.95,0.5333333333333333,,2.7,6.0,3.0,0.0,1.5,-0.0029420594208751,3.552713678800501e-15,30.0,18.0,15.0,7.0,4.0,2026-09-25,False,True,47.0,39.7,30.8325
20,20,OK,,F5_T3_v2,-43.35171151162268,BULLISH,REDUNDANT_SAME_WINDOW,,HUM,Humana Inc.,Healthcare,Healthcare Plans,70.39,58.63,90.0,C,A,NONE,,NONE,NONE,0,,0,False,21.32,8.51,16.3,12.5,397.9299926757813,386.73639892578126,289.35151336669924,0.0289437295819372,0.375247663458663,55.953066605911296,56.648288488377325,29.92393615158745,False,False,0.0367079941442249,1.2889950194398434,428.8800048828125,-0.0721647357178333,0.1016128704112062,1938500.0,969940.0,1.9985772315813348,STRONG_UPTREND,STRONG_UPTREND,BULLISH,BULLISH,NORMAL,23.311161,2.4138598,0.31835344,10.377,0.0418522668932104,0.06893,0.03896,0.034649998,0.00878,0.1176727344769554,0.262,0.271,0.76485,1940999936.0,2539000064.0,OK,OK,,,165,46377414656.0,67.4,28,,3.0,Yearly,0.7272727272727273,0.2203389830508474,0.8833333333333333,0.7796610169491526,0.5666666666666667,0.3090909090909091,0.2666666666666666,0.1166666666666666,0.1833333333333333,76.485,6.3,6.0,4.0,5.0,1.5,0.0463030737600669,0.0,30.0,16.0,15.0,10.0,10.0,2026-09-25,False,False,3.0,36.643750000000004,33.75
21,21,OK,,F5_T3_v2,-70.45332845052083,BEARISH,REDUNDANT_SAME_WINDOW,,GDDY,GoDaddy Inc.,Technology,Software - Infrastructure,69.99,64.65,78.89,C+,B+,NONE,,NONE,NONE,0,,0,False,22.8,21.85,12.5,7.5,97.13999938964844,96.2845994567871,94.17704971313476,0.0088840784267398,0.0314614832970334,48.901152876105904,29.546671549479168,37.287033038865815,False,False,0.1489059241095895,0.1885476006334647,143.3350067138672,-0.3222869861543009,0.1342426494292077,2705600.0,2698495.0,1.0026329491068169,STRONG_UPTREND,STRONG_UPTREND,NEUTRAL,BEARISH,DEEP_DRAWDOWN,8.837905,1838.8679,2.4182687,10.864,0.0976214625868004,4.42861,0.09882,0.27056998,0.17834999,0.0656472226630486,0.066,0.298,573.3433,1204950016.0,1728800000.0,OK,OK,,,73,12343085056.0,85.69,21,,3.0,Yearly,0.0135135135135135,0.9230769230769232,0.8354430379746836,0.8846153846153846,0.9493670886075948,1.0,0.5822784810126582,0.5569620253164557,0.4683544303797468,57334.33,4.5,6.0,2.0,0.0,1.5,-0.0364051012580592,0.0,30.0,16.0,12.0,7.0,6.0,2026-09-25,False,False,78.0,40.40625,29.583750000000002
